brand,channel,sku,recent_ad_spend,recent_units,product,wasted_ad_spend_l6m,oos_months_l6m,fba_available,fba_incoming,sales_velocity,days_of_inventory,oos_risk,units_30d,snapshot,out_now,low_stock,advertising_while_out_now,advertising_while_low,review_month
Vegavero,Amazon,VV-VITA-105,2403.7,661.0,PANAX GINSENG Vegavero® | 4800 mg | Rosso e Coreano | con 120 mg di Ginsenosidi | Contro Stanchezza Fisica e Mentale | 120 capsule | Vegan,0.0,0,143.0,720.0,21.6018,8.0549,False,644.0,2026-07-09,False,True,False,True,2026-06
Vegavero,Amazon,VV-VITA-106,1.04,1.0,"Vegavero Zwarte Knoflookcapsules | 11.250 mg dagelijkse dosis | Uittreksel (15:1) | 0,2% S-allylcysteïne (SAC) | Laboratorium getest | 120 capsules | Veganistisch & zonder toevoegingen",3.39,15,0.0,540.0,2.1313,0.0,False,27.0,2026-07-09,True,False,True,False,2026-06
Vegavero,Amazon,VV-VITA-107,2884.72,1432.0,Canela de Ceylan Vegavero | DOSIS ALTA: 2500 mg | Para 4 Meses | Controla Glucosa - Azúcar en Sangre | Colesterol + Antioxidantes | Sin Aditivos & Vegano | 120 Cápsulas,0.0,0,361.0,144.0,41.6789,10.8928,True,1352.0,2026-07-09,False,True,False,True,2026-06
Vegavero,Amazon,VV-VITA-109,985.99,385.0,"Leber Komplex Vegavero | Mariendistel, Artischocke, Löwenzahn, Cholin & Zichorie | Mit Silymarin & Cynarin | Hochdosierte Extrakte | Leber & Fettstoffwechsel* | Vegan & Ohne Zusätze | 120 Kapseln",0.0,0,95.0,0.0,7.2487,7.1737,True,290.0,2026-07-09,False,True,False,True,2026-06
Vegavero,Amazon,VV-VITA-111,841.34,375.0,"COLON CARE | 120 capsule | 100% Naturale con Psillio, Zenzero, Finocchio e Fermenti Lattici | Prodotto in Germania | Vegan e Senza Additivi | Vegavero",0.0,0,495.0,0.0,12.3022,42.0251,False,372.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-115,38.92,11.0,Vegavero Organic Probiotics for Kids | NO Additives | Organic Prebiotic Inulin and 5 Bacterial Strains with 10 Billion CFU | for Children 3+ Years | 75g Powder | Spoon Included,0.0,0,58.0,0.0,0.1977,293.3844,False,8.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-116,629.75,462.0,Vegavero Organic Iodine Supplement | NO Additives | 100% Natural Organic Scottish Sea Kelp | 150 mcg Pure | 180 Tablets | Vegan,0.0,0,367.0,144.0,10.0358,30.3641,True,305.0,2026-07-09,False,True,False,True,2026-06
Vegavero,Amazon,VV-VITA-119,4098.26,1516.0,Citrate de Magnésium + Potassium Vegavero® | 180 Gélules | Sans Additifs & VEGAN | Absorption Optimale | Douleurs Musculaires + Crampes + Anti Fatigue*,0.0,0,3406.0,0.0,40.37,58.3437,False,1245.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-121,1532.21,383.0,"Wechseljahre Vegavero | Meno Balance für Menopause | wildyamswurzel, Nachtkerze, Hopfen, Salbei, Kamille | 100% Natürlich & Hormonfrei | Vegan",0.0,0,114.0,180.0,14.6877,11.9147,True,406.0,2026-07-09,False,True,False,True,2026-06
Vegavero,Amazon,VV-VITA-122,249.73,130.0,"Vegavero Immunsystem Komplex – mit Echinacea, Acerola Vitamin C, Vitamin D3, Ingwer, Zink & Selen – vegane Immunformel ohne Zusatzstoffe – 120 Kapseln hochdosiert",0.0,1,1185.0,0.0,4.0067,300.7432,False,125.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-122-V,118.67,94.0,"Vegavero Immunsystem Komplex – mit Echinacea, Acerola Vitamin C, Vitamin D3, Ingwer, Zink & Selen – vegane Immunformel ohne Zusatzstoffe – 240 Kapseln hochdosiert",0.0,0,750.0,0.0,2.0799,369.2556,False,88.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-124,636.11,506.0,Vegavero NATUURLIJKE VITAMINE C | gemaakt van biologisch acerola-extract | Veganistisch | Zonder toevoegingen | 180 capsules,0.0,0,325.0,144.0,11.5394,32.2373,False,382.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-127,3259.68,2058.0,Safran 30 mg | Extrait de Qualité : Affron® | 120 Gélules | Analysé en Laboratoire | Vegan & Sans Additifs | Vegavero®,5.84,3,954.0,1008.0,75.6197,14.6919,True,2405.0,2026-07-09,False,True,False,True,2026-06
Vegavero,Amazon,VV-VITA-129,532.87,312.0,"Gingembre BIO 650 mg | 120 Gélules (4 mois) | 1,5% Gingerol | Digestion + Vomissement | Testé en Laboratoire | Vegan & Sans Additifs | Vegavero®",0.0,0,248.0,0.0,10.2079,27.9194,True,294.0,2026-07-09,False,True,False,True,2026-06
Vegavero,Amazon,VV-VITA-136,4004.89,1229.0,"Vegavero Aderen capsules | 100% natuurlijk | Veldpaardenstaart, rode wijnbladeren, gotuola, slagersbezem & bosbes | Zware en vermoeide benen | 120 cap",0.0,0,1073.0,0.0,41.7386,28.0316,True,1294.0,2026-07-09,False,True,False,True,2026-06
Vegavero,Amazon,VV-VITA-142,2122.72,711.0,"Prostata Komplex Vegavero | 800 mg Kürbiskernextrakt |180 Kapseln Hochdosiert | Mit Sägepalmenextrakt, Kürbiskernen, Brennnessel & Mehr | Vegan & Ohne Zusätze",233.16,4,225.0,0.0,20.381,14.2289,True,673.0,2026-07-09,False,True,False,True,2026-06
Vegavero,Amazon,VV-VITA-143,500.91,286.0,Vitamine B12 1000 mcg Vegavero® | Origine FRANCE & Espagne | La Seule SANS ADDITIFS & VEGAN | Avec 2 Formes Actives + Acide Folique + B6 + Choline | Énergie + Anti-Fatigue* | 180 Gélules,16.27,6,960.0,0.0,14.5599,72.6653,False,404.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-146,1683.93,572.0,"Spirulina Bio | 4000 mg | Höchste Dosis pro Tablette | Laborgeprüft | Vegan & Ohne Zusatzstoffe | 3,9% Phycocyanin | 300 Stück | Deutsche Produktion von Vegavero",0.0,0,379.0,450.0,17.5369,24.4626,True,538.0,2026-07-09,False,True,False,True,2026-06
Vegavero,Amazon,VV-VITA-151,4736.46,931.0,"Vegavero Hormone Balance for Women | PMS Supplements | NO Additives | 180 Capsules | Vitex Agnus Castus, Lady's Mantle, Folic Acid (Quatrefolic®) Mac",0.0,0,1583.0,0.0,28.5302,58.6747,False,913.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-153,632.33,258.0,Ashwagandha Orgánica Vegavero | 2010 mg | Con Withanólidos | Insomnio + Estrés + Relajante | Probado en laboratorio | 180 Capsulas | Sin Aditivos & Vegano,17.810000000000002,1,272.0,0.0,6.8783,42.1614,False,243.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-155,971.37,301.0,"REISHI BIO Vegavero® | 40% Polisaccaridi, 30% Beta Glucani e 1% Triterpeni | Senza OGM e con Analisi di Laboratorio | Estratto Biologico Altamente Dosato | Ganoderma Lucidum Puro | Vegan",0.0,0,413.0,255.0,12.8118,20.5317,False,309.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-157,603.79,482.0,"Aubépine BIO Vegavero® | 700 mg d’Extrait | Extraction FRANÇAISE | Sans Additifs | Titré à 1,5% en Flavonoïdes | Antioxydant Naturel + Relaxant | 60 Gélules | VEGAN",0.0,0,526.0,0.0,12.3301,45.6607,False,378.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-158,619.63,350.0,"Vegavero Vegan Glucosamine Complex | with Chondroitin, MSM, Devil's Claw and Vit C | NO Additives, Lab-Tested | Joint Pain Relief | 180 Capsules",9.62,1,190.0,288.0,8.0731,25.269,False,279.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-159,2100.2799999999997,911.0,EAA Aminoácidos Esenciales Vegavero | BCCAS Aminoacids | 300 Comprimidos | 9 Aminoácidos Esenaciales | Vegano | Aminos Ramificados,0.0,0,86.0,0.0,28.3389,2.9641,True,879.0,2026-07-09,False,True,False,True,2026-06
Vegavero,Amazon,VV-VITA-160,0.8,3.0,Maca + L-Arginine | Avec Tribulus & Zinc | VEGAN & Sans Additifs | 180 Gélules | Vegavero®,0.0,0,19.0,0.0,0.1274,149.1292,False,3.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-161,0.0,,,0.0,0,,,,,False,,,True,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-165,1010.41,299.0,Vegavero Trans Resveratrol 98% 1000 mg | Natural Anti Aging & Skin Supplement | Pure from Japanese Knotweed | NO Additives | High Bioavailability with VIT B3 & Piperine | Lab Tested | Vegan,0.0,0,319.0,288.0,8.4027,41.6531,False,273.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-166,924.26,362.0,Vegavero Biologische TRIPHALA capsules | 180 capsules met 650 mg per capsule | Bio Triphala-poeder uit India | Veganistisch | Zonder additieven,0.0,0,1924.0,48.0,8.0733,35.1972,False,242.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-168,1432.82,325.0,"Vegavero ZONVERZORGINGS COMPLEX | 180 capsules | Bruiningscapsules | Bètacaroteen, vitamine E, olijfbladextract, tyrosine, lycopeen, zink, koper | VEGAN & zonder toevoegingen",0.0,0,189.0,0.0,7.3873,27.0734,True,247.0,2026-07-09,False,True,False,True,2026-06
Vegavero,Amazon,VV-VITA-170,1617.4399999999998,689.0,"Vegavero Vitamin B3 Nicotinamide 500 mg | Flush Free Niacinamide | NO Additives, Lab-Tested | 180 Capsules | Vegan",0.0,0,671.0,180.0,18.5479,38.9801,False,592.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-171,1188.0700000000002,553.0,"Vegavero Integratore OCCHI | 120 capsule | con Luteina, Zeaxantina, Mirtillo Nero, Vitamina A, B2 e Zinco | Salute della VISTA | Vegan",1.59,1,395.0,255.0,16.1615,27.349,False,507.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-172,311.49,224.0,BIO Maitake Vegavero | La dosis más alta 8500 mg | 50% de Polisacáridos | Sin Aditivos | Testado | Sistema Inmunológico + Estrés & Ansiedad + Adaptógeno | 60 Cápsulas | TCM,0.0,1,419.0,0.0,5.8088,45.6452,False,184.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-173,1133.8799999999999,510.0,Bio Hericium Erinaceus Kapseln Vegavero | 50% Polysaccharide | 500 mg organic Löwenmähne Pilz Extrakt – entspricht mind. 7500 mg Hericium Pulver | Laborgeprüft | Ohne Zusätze | 60 Stück | Vegan,0.0,0,191.0,580.0,15.8202,16.0555,False,502.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-174,669.59,347.0,Extracto de Hoja de Olivo Vegavero | La Dosis Más Alta: 7500 mg con 40% de Oleuropeína | Antioxidante | Sin Aditivos | 90 Cápsulas | De España,0.0,0,174.0,0.0,7.5132,25.9542,True,241.0,2026-07-09,False,True,False,True,2026-06
Vegavero,Amazon,VV-VITA-181,222.48,136.0,Salvia BIO Vegavero | 500 mg por Cápsula | Sin Aditivos | Antitranspirante Natural Hombres & Mujeres | Hiperhidrosis & Menopausia | Vegano | Orgánico | 4 Meses de Suministro | 120 Cápsulas,0.0,0,0.0,0.0,3.1761,0.3148,True,120.0,2026-07-09,True,False,True,False,2026-06
Vegavero,Amazon,VV-VITA-183,991.07,421.0,"Vegavero REFLUX-complex | 100% natuurlijk | Voor brandend maagzuur en zuurgerelateerde maagproblemen | Met Mucosave®, olijfbladextract, natriumalginaat & kamille | LABORATORIUMGETEST | Vegan",0.12,1,196.0,120.0,9.4084,19.8759,True,268.0,2026-07-09,False,True,False,True,2026-06
Vegavero,Amazon,VV-VITA-186,171.75,42.0,"Chlorella BIO - 3000 mg | Sans Additifs & Vegan | Source de Vitamines, Minéraux et Protéines | 180 Comprimés | Vegavero®",0.0,4,160.0,96.0,2.0535,2.6641,False,48.0,2026-07-09,False,True,False,True,2026-06
Vegavero,Amazon,VV-VITA-188,590.61,304.0,"Vegavero Organic STINGING Nettle 3600 mg | from 4:1 Root & Leaf Extracts | Blood Sugar Control, Joint Health, Prostate Health | NO Additives | Urtica Dioica | 120 Capsules | Vegan",0.0,0,148.0,85.0,5.9038,6.2672,True,194.0,2026-07-09,False,True,False,True,2026-06
Vegavero,Amazon,VV-VITA-189,542.37,390.0,Vegavero BIOLOGISCHE Rozenbottel capsules | EU-teelt | 1400 mg rozenbottelpoeder BIO | Laboratorium getest | Veganistisch - zonder toevoegingen,0.0,0,319.0,144.0,12.0269,29.4341,False,389.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-190,667.86,283.0,BIO Papaya Vegavero | Alta Dosis 1400mg | Calidad Española | Sin Aditivos | Estreñimiento + Digestión + Gases | Fuente de Papaína & Vitamina C | 120 Cápsulas,0.0,0,395.0,0.0,7.4985,54.2773,False,257.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-197,553.56,267.0,Vegavero Guggul Capsules 7500 mg | From 15:1 Extract | Dried Resin | NO Additives | Lab-Tested | 120 Capsules | Vegan,0.0,0,2051.0,0.0,6.9751,34.1049,True,219.0,2026-07-09,False,True,False,True,2026-06
Vegavero,Amazon,VV-VITA-198,4922.139999999999,953.0,Bromelain hochdosiert | bis zu 1300 mg am Tag | (3250 F.I.P - 1625 Gdu) pro Kapsel | magensaftres. DRCaps | Laborgeprüft | Eaus Ananas | Vegan - Ohne Zusatzstoffe | Dt. Produktion Vegavero,0.0,0,843.0,0.0,31.015,28.9215,True,970.0,2026-07-09,False,True,False,True,2026-06
Vegavero,Amazon,VV-VITA-198-V,390.21000000000004,178.0,"Vegavero Bromelain 650 mg | High Strength - 2500 GDU/g | Gastro-Resistant DrCaps | NO Additives, Lab-Tested | Pure Pineapple Enzyme | 240 Capsules | Vegan",0.0,0,463.0,0.0,3.7393,67.6115,False,153.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-199,276.39,223.0,Bio Johanniskraut hochdosiert | mit Passionsblume | Extrakte aus Europa | Laborgeprüft | Hypericin - Flavonoide | Vegan - ohne Zusatzstoffe | Deutsche Produktion von Vegavero,0.0,0,290.0,2.0,5.8379,51.5595,False,207.0,2026-07-09,False,False,False,False,2026-06
Vegavero,Amazon,VV-VITA-202,615.9499999999999,405.0,"Vegavero Multivitamin for Kids Spray | No Added Sugar | NO Additives | Natural Orange Flavour | with Vitamin C, D3, E, K2 & All B Vitamins | 125 Sprays | Vegan",0.0,0,387.0,144.0,8.694,48.1944,False,290.0,2026-07-09,False,False,False,False,2026-06
