sku,first_sale_month,censored,source
VV-VITA-157,2024-07,True,first-sale proxy
VV-VITA-158,2024-07,True,first-sale proxy
VV-VITA-159,2024-07,True,first-sale proxy
VV-VITA-160,2024-07,True,first-sale proxy
VV-VITA-161,2024-07,True,first-sale proxy
VV-VITA-163,2024-07,True,first-sale proxy
VV-VITA-165,2024-07,True,first-sale proxy
VV-VITA-166,2024-07,True,first-sale proxy
VV-VITA-168,2024-07,True,first-sale proxy
VV-VITA-169,2024-07,True,first-sale proxy
VV-VITA-170,2024-07,True,first-sale proxy
VV-VITA-171,2024-07,True,first-sale proxy
VV-VITA-172,2024-07,True,first-sale proxy
VV-VITA-173,2024-07,True,first-sale proxy
VV-VITA-174,2024-07,True,first-sale proxy
VV-VITA-181,2024-07,True,first-sale proxy
VV-VITA-183,2024-07,True,first-sale proxy
VV-VITA-186,2024-07,True,first-sale proxy
VV-VITA-188,2024-07,True,first-sale proxy
VV-VITA-189,2024-07,True,first-sale proxy
VV-VITA-190,2024-07,True,first-sale proxy
VV-VITA-192,2024-07,True,first-sale proxy
VV-VITA-197,2024-07,True,first-sale proxy
VV-VITA-198,2024-07,True,first-sale proxy
VV-VITA-198-V,2026-02,False,first-sale proxy
VV-VITA-199,2024-07,True,first-sale proxy
VV-VITA-200,2024-07,True,first-sale proxy
VV-VITA-202,2024-07,True,first-sale proxy
VV-VITA-203,2024-07,True,first-sale proxy
VV-VITA-204,2024-07,True,first-sale proxy
VV-VITA-206,2024-07,True,first-sale proxy
VV-VITA-207,2024-07,True,first-sale proxy
VV-VITA-208,2024-07,True,first-sale proxy
VV-VITA-215,2024-07,True,first-sale proxy
VV-VITA-216,2024-07,True,first-sale proxy
VV-VITA-217,2024-07,True,first-sale proxy
VV-VITA-222,2024-07,True,first-sale proxy
VV-VITA-222-V,2026-02,False,first-sale proxy
VV-VITA-223,2024-07,True,first-sale proxy
VV-VITA-224,2024-07,True,first-sale proxy
VV-VITA-225,2024-07,True,first-sale proxy
VV-VITA-225-V,2025-12,False,first-sale proxy
VV-VITA-226,2024-07,True,first-sale proxy
VV-VITA-227,2024-07,True,first-sale proxy
VV-VITA-228,2024-07,True,first-sale proxy
VV-VITA-230,2024-07,True,first-sale proxy
VV-VITA-231,2024-07,True,first-sale proxy
VV-VITA-236,2024-07,True,first-sale proxy
VV-VITA-237,2024-07,True,first-sale proxy
VV-VITA-243,2024-07,True,first-sale proxy
VV-VITA-247,2024-07,True,first-sale proxy
VV-VITA-248,2024-07,True,first-sale proxy
VV-VITA-248-V,2026-02,False,first-sale proxy
VV-VITA-249,2024-07,True,first-sale proxy
VV-VITA-250,2024-07,True,first-sale proxy
VV-VITA-252,2024-07,True,first-sale proxy
VV-VITA-253,2024-07,True,first-sale proxy
VV-VITA-256,2024-07,True,first-sale proxy
VV-VITA-257,2024-07,True,first-sale proxy
VV-VITA-258,2024-07,True,first-sale proxy
VV-VITA-259,2024-07,True,first-sale proxy
VV-VITA-261,2024-07,True,first-sale proxy
VV-VITA-262,2024-07,True,first-sale proxy
VV-VITA-264,2024-07,True,first-sale proxy
VV-VITA-265,2024-07,True,first-sale proxy
VV-VITA-266,2024-07,True,first-sale proxy
VV-VITA-267,2024-07,True,first-sale proxy
VV-VITA-271,2024-07,True,first-sale proxy
VV-VITA-274,2024-07,True,first-sale proxy
VV-VITA-276,2024-07,True,first-sale proxy
VV-VITA-277,2024-07,True,first-sale proxy
VV-VITA-284,2024-07,True,first-sale proxy
VV-VITA-285,2024-07,True,first-sale proxy
VV-VITA-286,2024-07,True,first-sale proxy
VV-VITA-287,2024-07,True,first-sale proxy
VV-VITA-292,2024-07,True,first-sale proxy
VV-VITA-293,2024-07,True,first-sale proxy
VV-VITA-294,2024-07,True,first-sale proxy
VV-VITA-295,2024-07,True,first-sale proxy
VV-VITA-297,2024-07,True,first-sale proxy
VV-VITA-298,2024-07,True,first-sale proxy
VV-VITA-299,2024-07,True,first-sale proxy
VV-VITA-301,2024-07,True,first-sale proxy
VV-VITA-303,2024-07,True,first-sale proxy
VV-VITA-304,2024-07,True,first-sale proxy
VV-VITA-306,2024-07,True,first-sale proxy
VV-VITA-307,2024-07,True,first-sale proxy
VV-VITA-308,2024-07,True,first-sale proxy
VV-VITA-31,2024-07,True,first-sale proxy
VV-VITA-310,2024-07,True,first-sale proxy
VV-VITA-311,2024-07,True,first-sale proxy
VV-VITA-312,2024-07,True,first-sale proxy
VV-VITA-313,2024-07,True,first-sale proxy
VV-VITA-314,2024-07,True,first-sale proxy
VV-VITA-316,2024-07,True,first-sale proxy
VV-VITA-317,2024-07,True,first-sale proxy
VV-VITA-318,2024-07,True,first-sale proxy
VV-VITA-319,2024-07,True,first-sale proxy
VV-VITA-320,2024-07,True,first-sale proxy
VV-VITA-320-V,2025-11,False,first-sale proxy
VV-VITA-321,2024-07,True,first-sale proxy
VV-VITA-322,2024-07,True,first-sale proxy
VV-VITA-323,2024-07,True,first-sale proxy
VV-VITA-324,2024-07,True,first-sale proxy
VV-VITA-325,2024-07,True,first-sale proxy
VV-VITA-326,2024-07,True,first-sale proxy
VV-VITA-327,2024-07,True,first-sale proxy
VV-VITA-328,2024-07,True,first-sale proxy
VV-VITA-329,2024-07,True,first-sale proxy
VV-VITA-330,2024-07,True,first-sale proxy
VV-VITA-331,2024-07,True,first-sale proxy
VV-VITA-332,2024-07,True,first-sale proxy
VV-VITA-333,2024-07,True,first-sale proxy
VV-VITA-335,2024-07,True,first-sale proxy
VV-VITA-336,2024-07,True,first-sale proxy
VV-VITA-337,2024-07,True,first-sale proxy
VV-VITA-338,2024-07,True,first-sale proxy
VV-VITA-339,2024-07,True,first-sale proxy
VV-VITA-340,2024-07,True,first-sale proxy
VV-VITA-341,2024-07,True,first-sale proxy
VV-VITA-342,2024-07,True,first-sale proxy
VV-VITA-343,2024-07,True,first-sale proxy
VV-VITA-344,2024-07,True,first-sale proxy
VV-VITA-345,2024-07,True,first-sale proxy
VV-VITA-346,2024-07,True,first-sale proxy
VV-VITA-347,2024-07,True,first-sale proxy
VV-VITA-348,2024-07,True,first-sale proxy
VV-VITA-349,2024-07,True,first-sale proxy
VV-VITA-350,2024-07,True,first-sale proxy
VV-VITA-351,2024-07,True,first-sale proxy
