brand,channel,sku,product,cm_source,months_active,last_sale_month,net_sales_l3m,net_sales_p3m,net_sales_l6m,cm1_l6m,cm2_l6m,cm3_l6m,ad_spend_l6m,cm3_p6m,net_sales_p6m,net_sales_ttm,cm3_ttm,net_sales_l2m,neg_cm3_months,cm_months_l6m,cm3_pct_l6m,cm3_pct_p6m,cm1_pct_l6m,cm2_pct_l6m,cm3_improving_pp,sales_trend_pct,launch_month,censored,source,age_months,vol_tier,margin_tier,cluster,cm3_target,verdict,reasons,incubating,review_month,bsr,bsr_month,country_verdicts,n_markets,n_markets_action,manual
Vegavero,Amazon,VV-VITA-355,"Vegavero L-Glutathione Complex | With Glycin, PureWay-C® Vitamin C Liposomal and MSM | NO Additives | Vegan | 90 Capsules",actual,12,2026-06,74875.59,96255.57,171131.16,95119.24,40404.42,20456.38,19948.13,57787.39,234077.88999999998,405209.05,78243.77,46940.869999999995,2,6,11.95362668026092,24.687248334304453,55.58265367920138,23.610206346991394,-12.733621654043533,-22.211680840911345,2024-07,True,first-sale proxy,23.0,1,3,3-1,19.97187909328777,Fix,CM3% 12.0 vs target 20.0,False,2026-06,10842.0,2026-07,DE:Defend|ES:Fix|FR:Fix|GB:Fix|IE:Defend|IT:Fix|NL:Fix,7,5,False
Vegavero,Amazon,VV-VITA-355-V,"Vegavero L-Glutathione Complex | 180 Capsules | with Glycin, PureWay-C Vitamin C Liposomal and MSM | NO Additives | Vegan",actual,7,2026-06,22952.68,25876.57,48829.25,26195.06,13698.87,11257.82,2441.01,1652.55,6289.89,55119.14,12910.37,16410.260000000002,2,6,23.055484161644916,26.27311447417999,53.646246870472105,28.054639381108657,-3.217630312535075,-11.299372366584905,2025-12,False,first-sale proxy,6.0,2,1,1-2,19.820734556199536,Defend,"new: launched 2025-12 (6m ago); CM3% 23.1 >= target, momentum negative - hold",True,2026-06,10620.0,2026-07,DE:Defend|ES:Scale|FR:Defend|GB:Defend|IE:Defend|IT:Scale,6,0,False
Vegavero,Amazon,VV-VITA-356,"Vegavero Zwarte MACA capsules + l-ARGININE | Met tribulus, ginseng, vitamin c en zink | 5000 mg Maca zwarte 10:1 extract | Veganistisch en zonder toevoegingen | 120 capsules",actual,12,2026-06,37813.38,47916.92,85730.3,54018.22,25522.43,13220.48,12301.97,23415.2,80219.13,165949.43,36635.68,21816.81,3,6,15.42101217422545,29.18904755012925,63.00948439466559,29.770606191743177,-13.7680353759038,-21.085537217333673,2024-07,True,first-sale proxy,23.0,1,2,2-1,20.57734208730937,Fix,CM3% 15.4 vs target 20.6,False,2026-06,28146.0,2026-07,DE:Defend|ES:Defend|FR:Fix|GB:Fix|IT:Fix|NL:Defend,6,3,False
Vegavero,Amazon,VV-VITA-357,L Taurina Cápsulas | 1000 mg | Energizante + Concentracion | Cúrcuma + Té Verde + Vitamina B3 | Preentreno | Vegano | Vegavero,actual,12,2026-06,5602.98,6285.58,11888.56,7789.34,3412.95,1568.5,1844.3999999999999,4036.75,11888.24,23776.8,5605.25,3896.94,5,6,13.193355629277223,33.95582525251846,65.51962558964249,28.70785023585699,-20.762469623241238,-10.859777458882082,2024-07,True,first-sale proxy,23.0,3,2,2-3,21.36636767668484,Harvest,"CM3% 13.2 vs target 21.4; bottom volume tier, no momentum",False,2026-06,37771.0,2026-07,DE:Defend|ES:Harvest|FR:Fix|GB:Harvest|IE:Fix|IT:Harvest|NL:Fix,7,3,False
Vegavero,Amazon,VV-VITA-358,OPC | 12.500 mg de Extracto de Semilla de Uva | Antioxidante Natural para Circulación | Alta Dosis de Uvas Italianas | Vegano & Sin Pesticidas | Vegavero,actual,12,2026-06,3161.71,4624.24,7785.95,4135.0199999999995,1506.14,918.46,587.6800000000001,2629.14,13143.99,20929.94,3547.6,1722.49,5,6,11.796376806940707,20.002601949636297,53.10874074454625,19.344331777111336,-8.20622514269559,-31.6274674324862,2024-08,False,first-sale proxy,22.0,3,3,3-3,21.644083618634358,Harvest,"CM3% 11.8 vs target 21.6; bottom volume tier, no momentum",False,2026-06,51439.0,2026-06,DE:No data|ES:Harvest|FR:Harvest|GB:Exit|IE:Harvest|IT:Harvest|NL:Fix,7,2,False
Vegavero,Amazon,VV-VITA-359,"Vegavero® Gélules de riz rouge Plus | 2,9 mg de monacoline K | Complexe avec bergamote + artichaut + Q10 | Red Yeast Rice | Flavonoïdes & antioxydants | Sans additifs | Végétalien",actual,12,2026-06,8867.09,9066.59,17933.68,11105.17,5084.76,3938.56,1146.24,5680.37,19699.96,37633.64,9618.93,5875.85,0,6,21.96180594278475,28.83442402928737,61.923542741924685,28.35313220710975,-6.872618086502619,-2.200386253266112,2024-07,True,first-sale proxy,23.0,3,1,1-3,18.835711026942917,Defend,"CM3% 22.0 >= target, momentum flat - hold",False,2026-06,44315.0,2026-07,DE:Scale|ES:Scale|FR:Defend|GB:Harvest|IT:Scale,5,0,False
Vegavero,Amazon,VV-VITA-360,Vegavero Caffeine 200 mg | 9090 mg Guarana Seeds from 10:1 Extract | 120 Capsules | Natural and Sugar Free | Vegan,actual,12,2026-06,1826.27,2561.56,4387.83,2649.43,948.97,300.86,648.1,1201.08,5155.11,9542.94,1501.94,1021.39,5,6,6.856692260183279,23.298823885426305,60.38132744431758,21.62731919878391,-16.442131625243025,-28.704773653554867,2024-07,True,first-sale proxy,23.0,3,3,3-3,21.88343358556168,Exit,"TTM sales EUR 9,543 < EUR 15,000 floor (run-rate EUR 7,305/yr) - discontinue",False,2026-06,55908.0,2026-07,DE:Harvest|ES:Exit|FR:Harvest|GB:Harvest|IE:Harvest|IT:Harvest|NL:Exit,7,2,False
Vegavero,Amazon,VV-VITA-361,"Vegavero RAPUNZEL | Haarvitamines met MSM, biotine, zink, L-cysteïne en selenium | KRUIDENKRACHTEXTRACTEN: Gouden gierst, bamboe en meer | Haarcapsules voor vrouwen | 120 capsules | Vegan",actual,12,2026-06,22895.93,31794.99,54690.92,33421.04,14934.56,1885.4800000000002,13049.039999999999,15443.029999999999,60210.92,114901.84,17328.51,15043.3,5,6,3.4475192591384465,25.648221286105578,61.10893727880241,27.307201999893216,-22.200702026967132,-27.988874976843835,2024-09,False,first-sale proxy,21.0,2,3,3-2,18.403168884989135,Fix,CM3% 3.4 vs target 18.4,False,2026-06,30585.0,2026-07,DE:Defend|ES:Fix|FR:Fix|GB:Harvest|IE:Fix|IT:Fix|NL:Fix,7,5,False
Vegavero,Amazon,VV-VITA-362,"Complexe Échinacée Immunité | Avec Vitamine C, Reishi, Curcuma et Zinc | Sans Additifs & Vegan | 120 Gélules | Vegavero®",actual,12,2026-06,8558.28,19052.82,27611.1,16643.99,7405.51,5116.24,2289.2599999999998,13253.27,51221.37,78832.47,18369.51,5062.24,1,6,18.52964930770596,25.874493399922727,60.28006852316642,26.820771356447224,-7.344844092216768,-55.08129505238594,2024-08,False,first-sale proxy,22.0,2,2,2-2,18.147574057605958,Defend,"CM3% 18.5 >= target, momentum negative - hold",False,2026-06,42110.0,2026-07,DE:Harvest|ES:Defend|FR:Fix|IT:Defend|NL:Defend,5,1,False
Vegavero,Amazon,VV-VITA-363,"Vegavero Vinaigre de cidre de pomme avec mère 1500 mg | Picolinate de chrome pour taux de sucre dans le sang | avec extraits de poivre de Cayenne, gi",actual,12,2026-06,13792.13,14126.83,27918.96,17462.13,7912.73,1584.9,6327.63,12690.75,43953.69,71872.65,14275.65,9774.15,5,6,5.67678738749581,28.873002471464854,62.545775344067266,28.341779206675323,-23.196215083969044,-2.3692505678910325,2024-07,True,first-sale proxy,23.0,2,3,3-2,20.984648964995724,Fix,CM3% 5.7 vs target 21.0,False,2026-06,24215.0,2026-07,BE:No data|DE:Fix|ES:Fix|FR:Fix|GB:Harvest|IE:Defend|IT:Fix|NL:Defend,8,4,False
Vegavero,Amazon,VV-VITA-363-V,"Complexe Vinaigre de Cidre 1950mg | 240 Gélules | Avec Chrome, Cannelle, Gingembre et Piment de Cayenne | Glycémie + Keto | Sans Additifs & Vegan | Vegavero®",actual,8,2026-06,5398.17,5516.95,10915.119999999999,6183.51,2970.9300000000003,2462.34,508.55,616.41,2523.64,13438.76,3078.75,3807.96,3,6,22.55898240239228,24.42543310456325,56.65086595474902,27.21848225214199,-1.8664507021709689,-2.1530012053761545,2025-11,False,first-sale proxy,7.0,3,1,1-3,21.326748628444886,Defend,"CM3% 22.6 >= target, momentum flat - hold",False,2026-06,24257.0,2026-07,DE:Defend|ES:Scale|FR:Fix|GB:Harvest|IE:Fix|IT:Scale,6,2,False
Vegavero,Amazon,VV-VITA-364,Astaxanthine BIO | Issue de 160 mg d'Haematococcus Biologiques | Antioxydant 100% Naturel | Biodisponibilité Elevée | Vegan & Sans Additifs | Vegavero®,actual,12,2026-06,150782.67,130519.85,281302.52,153562.93,61873.2,30141.61,31731.54,60123.98,248074.31,529376.83,90265.59,105978.24,4,6,10.715015990613947,24.236278234533838,54.58995888127841,21.99525265539747,-13.52126224391989,15.52470371364969,2024-07,True,first-sale proxy,23.0,1,3,3-1,19.18809260771954,Fix,CM3% 10.7 vs target 19.2,False,2026-06,6137.0,2026-07,DE:Fix|ES:Fix|FR:Fix|GB:Fix|IE:Defend|IT:Defend|NL:Scale,7,4,False
Vegavero,Amazon,VV-VITA-365,Vegavero Apple Cider Vinegar Gummies | NO Sweeteners or Added Sugars | 91% Fruit | Digestive Gums | Without Gelatine | Vegan | 90 Apple Cider Soft Bites,actual,12,2026-06,13373.93,10684.89,24058.82,16349.12,7247.43,-641.6800000000001,7889.14,5936.91,21110.94,45169.76,5295.23,8786.71,5,6,-2.6671299756180895,28.122433202879645,67.95478747502996,30.123796595177986,-30.789563178497733,25.166754173416862,2024-09,False,first-sale proxy,21.0,3,3,3-3,20.491742386432875,Exit,"CM3 negative in 5 of last 6 months, not improving",False,2026-06,34651.0,2026-07,DE:Defend|ES:Fix|FR:Defend|GB:Harvest|IE:Scale|IT:Defend|NL:Fix,7,2,False
Vegavero,Amazon,VV-VITA-366,Gummies Fer | Pour Enfant et Adulte | Sans Sucres Ajoutés & Vegan | Avec 97% de Fruits | 94 Gommes Goût Cassis | Anti Fatigue + Immunité | Vegavero®,actual,12,2026-06,11146.460000000001,18174.26,29320.72,18491.91,7392.2300000000005,3447.16,3945.0499999999997,7546.24,32252.82,61573.54,10993.4,5896.2,4,6,11.756737215184348,23.39714790830693,63.067721392926224,25.21162508969766,-11.640410693122583,-38.66897469277978,2024-09,False,first-sale proxy,21.0,2,3,3-2,22.50453033527064,Fix,CM3% 11.8 vs target 22.5,False,2026-06,32221.0,2026-07,BE:No data|DE:Defend|ES:Fix|FR:Fix|GB:Fix|IE:Defend|IT:Defend|NL:No data,8,3,False
Vegavero,Amazon,VV-VITA-367,"Vegavero Creatine Monohydrate Powder | Pure Unflavoured | 3,4 mg per day - 147 Portions | Performance and Muscle Building | NO Additives | Lab Tested | 500g Vegan Creatin",actual,12,2026-06,9773.609999999999,11679.73,21453.34,12626.82,5774.18,3024.17,2750.05,5715.9,22662.25,44115.59,8740.07,6560.4,4,6,14.096499659260516,25.222120486712484,58.8571290064857,26.915063109054348,-11.125620827451968,-16.31989780585682,2024-11,False,first-sale proxy,19.0,3,2,2-3,21.00253010248758,Harvest,"CM3% 14.1 vs target 21.0; bottom volume tier, no momentum",False,2026-06,35433.0,2026-07,BE:No data|DE:Harvest|ES:Defend|FR:Defend|GB:Fix|IE:Fix|IT:Defend|NL:Fix,8,3,False
Vegavero,Amazon,VV-VITA-368,Vegavero L-Glutamine Powder 5000 mg | Post Workout and Muscle Building | 100% Pure - NO Additives | Lab Tested | 500g L Glutamine Vegan,actual,12,2026-06,10729.99,9407.88,20137.87,11879.49,5603.33,3152.18,2450.9700000000003,4611.64,17472.3,37610.17,7763.82,7046.45,4,6,15.65299607158056,26.394006513166556,58.990796941285254,27.824839469119627,-10.741010441585995,14.053219216231508,2024-09,False,first-sale proxy,21.0,3,2,2-3,22.56725201906825,Fix,CM3% 15.7 vs target 22.6,False,2026-06,30002.0,2026-07,BE:No data|DE:Scale|ES:Defend|FR:Harvest|GB:Exit|IE:Fix|IT:Defend|NL:Fix,8,3,False
