brand,channel,sku,product,cm_source,months_active,last_sale_month,net_sales_l3m,net_sales_p3m,net_sales_l6m,cm1_l6m,cm2_l6m,cm3_l6m,ad_spend_l6m,cm3_p6m,net_sales_p6m,net_sales_ttm,cm3_ttm,net_sales_l2m,neg_cm3_months,cm_months_l6m,cm3_pct_l6m,cm3_pct_p6m,cm1_pct_l6m,cm2_pct_l6m,cm3_improving_pp,sales_trend_pct,launch_month,censored,source,age_months,vol_tier,margin_tier,cluster,cm3_target,verdict,reasons,incubating,review_month,bsr,bsr_month,country_verdicts,n_markets,n_markets_action,manual
Vegavero,Amazon,TU-QNYD-JRRX,"Vegavero Tribulus Terrestris 10,800 mg | High Strength Extract | 1620 mg Saponins per Serving | NO Additives, Lab-Tested | Stamina & Strength Support for Men & Women | 120 Capsules | Vegan",actual,11,2026-05,57080.79,62302.83,119383.62,83757.22,41053.55,31431.9,-9621.58,40969.59,118803.0,238186.62,72401.49,38213.229999999996,0,6,26.328486269724444,34.485316027373045,70.15805015796975,34.387925244686,-8.156829757648602,-8.381705935348363,2024-07,True,first-sale proxy,22.0,1,1,1-1,21.398586172426473,Scale,"CM3% 26.3 >= target, sales -8% 3m",False,2026-05,20836.0,2026-07,DE:Defend|ES:Scale|FR:Defend|GB:Scale|IT:Scale|NL:Defend,6,0,False
Vegavero,Amazon,VI-ZU99-SZ0B,L-Triptófano 500mg Puro* Vegavero | El Único Sin Aditivos | Para 4 meses | Estrés + Insomnio + Cansancio | Alta dosificación | 120 Cápsulas,actual,11,2026-05,18783.399999999998,25293.3,44076.7,29729.78,14272.26,11468.39,-2803.86,15451.69,48477.35,92554.05,26920.08,12238.91,0,6,26.019166589150277,31.874040144521103,67.45010402321408,32.38050943015244,-5.854873555370826,-25.737645937857067,2024-07,True,first-sale proxy,22.0,2,1,1-2,19.77783018171544,Defend,"CM3% 26.0 >= target, momentum negative - hold",False,2026-05,22049.0,2026-07,DE:Defend|ES:Defend|FR:Defend|IE:Defend|IT:Defend,5,0,False
Vegavero,Amazon,VV-ALO-06,"MSM Vegavero® Poudre | 1 Kg Méthylsulfonylméthane Pur à 99,9% | Sans Additifs & VEGAN | Formation de Collagène | Testé en Laboratoire | Format Sachet ou Boîte",actual,11,2026-05,35496.33,46216.659999999996,81712.99,44671.28,15150.45,9619.82,-5530.56,15380.9,92387.8,174100.79,25000.72,21798.13,1,6,11.77269366841184,16.6481938091393,54.66851720883056,18.541054488398967,-4.8755001407274605,-23.195812938451187,2024-07,True,first-sale proxy,22.0,1,3,3-1,21.715221186484644,Fix,CM3% 11.8 vs target 21.7,False,2026-05,12562.0,2026-07,BE:Defend|DE:Fix|ES:Harvest|FR:Fix|GB:Fix|IE:Defend|IT:Defend|NL:Fix,8,4,False
Vegavero,Amazon,VV-VITA-02,Cardo Mariano 35000 mg Vegavero | MAS ALTA DOSIS | Con 80% de Silimarina & 30% de Silibina | Liver Detox y Higado Graso | SIN ADITIVOS | Milk Thistle | Testado en Laboratorio | 120 Cápsulas,actual,11,2026-05,35883.86,10775.59,46659.45,30064.58,13002.45,9760.98,-3241.38,7906.05,29014.67,75674.12,17667.03,24555.03,0,6,20.91962078421413,27.24845741826463,64.4340642677957,27.866702243596958,-6.3288366340505,233.0106286523522,2024-07,True,first-sale proxy,22.0,2,2,2-2,21.505538962210597,Defend,"between target and broken - hold, re-check next month",False,2026-05,5729.0,2026-07,ES:Scale|FR:Fix|IE:Defend|IT:Scale,4,1,False
Vegavero,Amazon,VV-VITA-02-V,Chardon Marie Vegavero® | 365 Gélules | Avec 80% Silymarine + 30% Silybine | Sans Additifs | Dépuratif Foie Naturel + Digestion | VEGAN,actual,5,2025-11,,0.0,0.0,-31.73,-27.44,-27.44,0.0,5382.96,18846.16,18846.16,5355.5199999999995,,1,1,,28.562635571384305,,,,,2024-07,True,first-sale proxy,22.0,3,,,19.291942131235224,No data,no margin data for this market,False,2026-05,30773.0,2025-12,ES:No data|FR:No data|IT:No data,3,0,False
Vegavero,Amazon,VV-VITA-101,Vegavero Premium Rhodiola Rosea 1200 mg | 3% Rosavins & 1% Salidroside | 120 Capsules | Herbal Adaptogenic Supplement | Rhodiolife® | NO Additives | Vegan,actual,11,2026-05,185691.72,106540.75,292232.47,164623.01,71144.21,42512.05,-28632.27,56423.28,217584.07,509816.54,98935.33,122327.26999999999,1,6,14.547339657362512,25.9317145781858,56.33289483540279,24.34507363264596,-11.384374920823289,74.29173344471481,2024-07,True,first-sale proxy,22.0,1,3,3-1,21.497283624343712,Fix,CM3% 14.5 vs target 21.5,False,2026-05,6307.0,2026-07,BE:No data|DE:Scale|ES:Defend|FR:Fix|GB:Fix|IE:Fix|IT:Defend|NL:Fix,8,4,False
Vegavero,Amazon,VV-VITA-102,Ginkgo Biloba | Extra Fort : 6000mg | Mémoire + Circulation Sanguine | 180 Gélules | Unique : 24% Glycosides de Flavone + 6% Lactones Terpéniques | Vegan & Sans Additifs | Vegavero®,actual,11,2026-05,29632.54,25682.52,55315.06,32795.49,13354.2,9483.619999999999,-3870.68,11005.59,46526.97,101842.03,20489.21,19003.47,2,6,17.144734182698166,23.6542160385686,59.2885373350404,24.1420690857065,-6.509481855870433,15.380188548475774,2024-07,True,first-sale proxy,22.0,2,2,2-2,21.531130364595054,Defend,"between target and broken - hold, re-check next month",False,2026-05,22418.0,2026-07,DE:Scale|ES:Defend|FR:Fix|GB:Fix|IT:Scale|NL:Scale,6,2,False
Vegavero,Amazon,VV-VITA-104,Echinacea Vegavero® | Extrait Pur : 725 mg | Unique : Avec 4% Polyphenol | 4 MOIS | Systeme Immunitaire + Antioxydant Puissant | Sans Additifs | VEGAN,actual,11,2026-05,21252.61,42607.24,63859.85,41454.28,18843.89,16967.22,-1876.69,22052.51,70454.97,134314.82,39019.729999999996,12635.050000000001,1,6,26.56946422517435,31.300148165558795,64.91446503554268,29.50819646460178,-4.730683940384445,-50.119721437013986,2024-07,True,first-sale proxy,22.0,1,1,1-1,18.99620783230771,Defend,"CM3% 26.6 >= target, momentum negative - hold",False,2026-05,9868.0,2026-07,DE:No data|ES:Defend|FR:Defend|IT:Defend|NL:Fix,5,1,False
Vegavero,Amazon,VV-VITA-105,PANAX GINSENG Vegavero® | 4800 mg | Rosso e Coreano | con 120 mg di Ginsenosidi | Contro Stanchezza Fisica e Mentale | 120 capsule | Vegan,actual,11,2026-05,40978.97,25984.4,66963.37,44728.23,21088.05,13198.14,-7889.9,17083.95,53183.9,120147.27,30282.09,26661.350000000002,1,6,19.709491920732187,32.12240922534828,66.79507020031997,31.49191864149012,-12.41291730461609,57.70604670494605,2024-07,True,first-sale proxy,22.0,1,2,2-1,21.940905585445268,Defend,"between target and broken - hold, re-check next month",False,2026-05,15514.0,2026-07,DE:No data|ES:Scale|FR:Fix|GB:Fix|IE:Scale|IT:Scale,6,2,False
Vegavero,Amazon,VV-VITA-106,"Vegavero Zwarte Knoflookcapsules | 11.250 mg dagelijkse dosis | Uittreksel (15:1) | 0,2% S-allylcysteïne (SAC) | Laboratorium getest | 120 capsules | Veganistisch & zonder toevoegingen",actual,9,2026-03,115.33999999999999,33926.99,34042.33,19952.54,9690.9,9142.23,-548.67,14471.02,44872.64,78914.97,23613.25,0.0,2,6,26.85547669621909,32.24909432562916,58.61097051817546,28.467205388115325,-5.39361762941007,-99.66003468035332,2024-07,True,first-sale proxy,22.0,2,1,1-2,21.163699078248396,Fix,healthy margin but supply stalled; no sales in last 2 months (OOS / delisted?),False,2026-05,50974.0,2026-07,DE:Fix|ES:Fix|FR:Fix|GB:Defend|IE:Defend|IT:Fix|NL:Defend,7,4,False
