month,account,spend
2025-11,Vegavero,131.6
2025-12,Vegavero,3448.25
2026-01,Vegavero,6349.27
2026-02,Vegavero,8974.82
2026-03,Vegavero,11709.84
2026-04,Vegavero,11132.59
2026-05,Vegavero,3661.69
2026-06,Vegavero,13012.59
