sku,asin,totalFbaAvailablePool,totalFbaIncomingPool,salesVelocity,daysOfInventory,projectedDaysOfInventory,oosRiskFlag,totalUnits30d
VV-VITA-39,B01D3FVKBG,197,0,1.4817,134.9777,134.9777,False,48
VV-VITA-333,B0C2QPSPS6,68,0,0.4996,136.1163,136.1163,False,15
VV-VITA-372,B0D638MLB2,607,0,4.3368,140.8864,140.8864,False,134
VV-VITA-336,B0C948KKRG,104,0,0.7535,141.9974,141.9974,False,28
VV-VITA-160,B082XFKXJ2,19,0,0.1274,149.1292,149.1292,False,3
VV-VITA-383,B0DK9KCD8Y,387,0,2.5568,154.4914,154.4914,False,74
VV-VITA-376,B0DFCR6LPY,3357,0,22.0536,154.714,154.714,False,690
VV-VITA-386,B0DQDTVZNW,234,0,1.4769,160.4742,160.4742,False,62
VV-VITA-369,B0D63B1QGN,108,0,0.665,165.4034,165.4034,False,8
VV-VITA-49-V2,B0FDBB81FJ,317,0,1.9157,166.5174,166.5174,False,64
VV-VITA-223,B08QVWRHP2,140,0,0.8457,167.9162,167.9162,False,22
VV-VITA-410,B0FV353RST,43,0,0.2585,170.2437,170.2437,False,11
VV-VITA-222-V,B0FDBC9PTH,441,0,2.5543,173.4345,173.4345,False,62
VV-VITA-222,B08QVYP7YH,433,0,2.5169,174.8215,174.8215,False,82
VV-VITA-50,B01FFWYJV8,493,1,2.7981,179.763,180.1203,False,45
VV-VITA-398,B0FGQLPVB1,312,0,1.7741,179.8047,179.8047,False,58
VV-VITA-345,B0C6FHKNM7,64,0,0.3259,196.3516,196.3516,False,9
VV-VITA-370-V,B0FLQRB13X,284,0,1.4496,197.9905,197.9905,False,54
VV-VITA-398,B0FGQLPVB1,73,0,0.3669,201.7137,201.7137,False,8
VV-VITA-301,B0B2Q12FVY,44,0,0.2131,206.5069,206.5069,False,6
VV-VITA-258,B09C6HJ2CC,150,0,0.7421,207.5312,207.5312,False,28
VV-VITA-57-V,B07PM7B4NK,139,0,0.9045,211.1592,211.1592,False,31
VV-VITA-409,B0FV358F5X,1244,0,5.9647,214.0914,214.0914,False,197
VV-VITA-344,B0CCJ8R191,382,0,1.7642,217.0928,217.0928,False,60
VV-VITA-373,B0D92MHJL8,0,0,0.1501,219.8662,219.8662,False,7
VV-VITA-402,B0FLQMTC82,680,0,2.8909,239.7189,239.7189,False,99
VV-VITA-406,B0FLQR3V1R,87,0,0.3629,239.7402,239.7402,False,12
VV-VITA-342,B0CCJVV9GF,143,0,0.6065,242.3651,242.3651,False,17
VV-VITA-63,B01G7428BG,3894,0,16.0516,247.1398,247.1398,False,528
VV-VITA-166,B085YDYWV8,1924,0,8.0733,249.2159,249.2159,False,242
VV-VITA-228,B08VWKYVKS,419,0,1.6875,252.4382,252.4382,False,52
VV-VITA-247,B096W3WGCN,359,0,1.3933,260.5387,260.5387,False,41
VV-VITA-115,B07B9FTCXV,58,0,0.1977,293.3844,293.3844,False,8
VV-VITA-197,B08DDBGBZG,2051,0,6.9751,297.9176,297.9176,False,219
VV-VITA-362,B0D22ZSZ2H,782,0,2.643,298.5258,298.5258,False,96
VV-VITA-352,B0CMV9BH8K,146,0,0.4971,299.7525,299.7525,False,17
VV-VITA-122,B07DGGD49G,1185,0,4.0067,300.7432,300.7432,False,125
VV-VITA-387,B0DQDQ98QN,334,0,1.1201,301.758,301.758,False,42
VV-VITA-410,B0FV353RST,484,0,1.5968,305.6057,305.6057,False,42
VV-VITA-248-V,B0FLQNHCRZ,68,0,0.2219,306.4968,306.4968,False,10
VV-VITA-49-V2,B0FDBB81FJ,70,0,0.226,309.7042,309.7042,False,8
VV-VITA-248-V,B0FLQNHCRZ,752,0,2.391,317.4365,317.4365,False,85
VV-VITA-414,B0G549R7N1,655,0,2.0002,328.9683,328.9683,False,64
VV-VITA-357,B0CS6GFLRM,1134,0,3.3196,345.5256,345.5256,False,114
5904569253561,B0DM9DKYYD,99,0,0.2838,355.8971,355.8971,False,9
VV-VITA-122-V,B0FDB9KM34,750,0,2.0799,369.2556,369.2556,False,88
VV-VITA-57-V2,B0D26DXLP4,201,0,0.5186,389.4936,389.4936,False,25
BJ-E223-8EKW,B00RBUM5JQ,12309,0,31.4334,395.0253,395.0253,False,1050
VV-VITA-298,B0B2PSK2MC,65,0,0.1623,400.6015,400.6015,False,4
VV-VITA-171,B087JJ4M8H,265,0,0.6663,402.2212,402.2212,False,21
VV-VITA-397,B0FDB9CKTZ,1319,0,2.8722,463.0618,463.0618,False,103
VV-VITA-394,B0F446RQXB,89,0,0.1931,471.2088,471.2088,False,6
VV-VITA-225,B08VWV18N7,3028,0,6.4423,474.989,474.989,False,180
VV-VITA-387,B0DQDQ98QN,58,0,0.1205,481.5015,481.5015,False,5
VV-VITA-402,B0FLQMTC82,83,0,0.1628,509.9695,509.9695,False,4
VV-VITA-415,B0G54CWDJN,851,0,1.503,567.5225,567.5225,False,47
VV-VITA-400,B0FLQM58S2,721,0,1.1716,617.1286,617.1286,False,44
VV-VITA-363,B0D2322MMQ,4943,0,7.646,650.1461,650.1461,False,258
VV-VITA-393,B0F448XPL3,274,0,0.421,657.9994,657.9994,False,23
VV-VITA-380,B0DFCRTV9C,135,0,0.2063,659.127,659.127,False,7
VV-VITA-266,B09JCNKXV5,1626,0,2.4749,669.114,669.114,False,25
VV-VITA-408,B0FQVZ3H2S,80,0,0.121,669.4361,669.4361,False,5
VV-VITA-411,B0FV34CS27,216,0,0.3184,681.4464,681.4464,False,9
VV-VITA-363-V,B0FDBCQ9QR,107,0,0.1487,719.6002,719.6002,False,6
VV-VITA-225-V,B0FDBDVZVL,926,0,1.2847,733.9971,733.9971,False,53
VV-VITA-222-V,B0FDBC9PTH,125,0,0.168,744.1721,744.1721,False,5
VV-VITA-386,B0DQDTVZNW,123,0,0.1585,776.221,776.221,False,5
VV-VITA-375,B0D92M1BPN,75,0,0.094,808.6475,808.6475,False,1
VV-VITA-407,B0FQW6FYT9,26,0,0.0295,881.559,881.559,False,1
VV-VITA-412,B0G549XVKK,643,0,0.7287,885.1619,885.1619,False,50
VV-VITA-363,B0D2322MMQ,323,0,0.3348,967.8069,967.8069,False,12
VV-VITA-393,B0F448XPL3,101,0,0.1005,1004.5444,1004.5444,False,4
5904569253554,B0DM996667,551,0,0.5608,1125.218,1125.218,False,15
VV-VITA-355-V,B0FLQM4R56,151,0,0.1338,1128.4239,1128.4239,False,6
VV-VITA-399,B0FLQPR7DY,691,0,0.5889,1254.8634,1254.8634,False,28
VV-VITA-225-V,B0FDBDVZVL,88,0,0.0703,1266.5355,1266.5355,False,4
VV-VITA-111,B077QNG9M4,79,0,0.0405,1977.4046,1977.4046,False,1
VV-VITA-397,B0FDB9CKTZ,227,0,0.1108,2049.5049,2049.5049,False,5
VV-VITA-417,B0G617YBDB,276,0,0.134,2059.5791,2059.5791,False,4
VV-VITA-409,B0FV358F5X,203,0,0.0574,3533.8901,3533.8901,False,2
5904569253578,B0DM999GV2,545,0,0.0334,23010.7871,23010.7871,False,4
